deflection,time
29.4,1606109209.938245
29.5,1606109210.158245
29.4,1606109210.597245
29.3,1606109211.039245
29.4,1606109211.260245
29.5,1606109211.479245
29.4,1606109211.730245
29.3,1606109212.612245
29.5,1606109212.833245
29.3,1606109213.272245
29.5,1606109213.964245
29.3,1606109214.185245
29.2,1606109214.628245
29.4,1606109214.847245
29.2,1606109217.087245
29.4,1606109217.528245
29.2,1606109218.219245
29.4,1606109218.440245
29.5,1606109218.882245
29.3,1606109219.324245
29.5,1606109219.545245
29.2,1606109220.240245
29.5,1606109220.461245
29.2,1606109221.123245
29.4,1606109221.345245
29.6,1606109222.095245
29.3,1606109222.315245
29.2,1606109222.756245
29.3,1606109223.197245
29.5,1606109224.109245
29.4,1606109224.330245
29.5,1606109224.551245
29.2,1606109224.771245
29.4,1606109224.994245
29.3,1606109225.905245
29.4,1606109226.126245
29.6,1606109226.789245
29.4,1606109227.009245
29.3,1606109227.922245
29.5,1606109228.142245
29.2,1606109228.361245
29.3,1606109228.580245
29.2,1606109229.022245
29.4,1606109229.242245
29.5,1606109229.463245
29.4,1606109229.685245
29.5,1606109229.935245
29.4,1606109230.377245
29.3,1606109230.599245
29.4,1606109230.819245
29.3,1606109231.705245
29.5,1606109231.956245
29.4,1606109232.177245
29.5,1606109232.839245
29.3,1606109233.060245
29.2,1606109233.282245
29.5,1606109233.504245
29.3,1606109234.196245
29.5,1606109234.417245
29.6,1606109234.639245
29.3,1606109235.079245
29.5,1606109235.300245
29.4,1606109235.522245
29.5,1606109237.320245
29.4,1606109237.541245
29.5,1606109238.231245
29.4,1606109238.673245
29.6,1606109238.893245
29.4,1606109239.114245
29.5,1606109239.776245
29.2,1606109240.468245
29.4,1606109240.690245
29.3,1606109242.044245
29.5,1606109242.263245
29.3,1606109242.484245
29.4,1606109242.705245
29.3,1606109243.370245
29.5,1606109243.591245
29.3,1606109244.063245
29.6,1606109244.283245
29.2,1606109244.505245
29.5,1606109244.727245
29.4,1606109244.949245
29.5,1606109246.084245
29.3,1606109246.969245
29.5,1606109247.189245
29.4,1606109247.411245
29.3,1606109248.320245
29.4,1606109248.541245
29.2,1606109252.350245
29.5,1606109252.570245
29.3,1606109252.790245
29.5,1606109253.453245
29.3,1606109254.586245
29.2,1606109254.806245
29.4,1606109255.027245
29.3,1606109255.692245
29.5,1606109255.913245
29.4,1606109256.163245
29.5,1606109258.538245
29.4,1606109258.759245
29.2,1606109259.640245
29.5,1606109260.082245
29.4,1606109260.333245
29.5,1606109260.995245
29.1,1606109261.215245
29.4,1606109261.435245
29.5,1606109261.654245
29.3,1606109261.875245
29.2,1606109262.344245
29.4,1606109262.784245
29.2,1606109263.006245
29.4,1606109263.227245
29.2,1606109263.449245
29.4,1606109263.890245
29.3,1606109264.362245
29.5,1606109265.023245
29.4,1606109265.243245
29.2,1606109266.820245
29.5,1606109267.261245
29.4,1606109267.926245
29.5,1606109268.145245
29.3,1606109268.394245
29.4,1606109268.614245
29.2,1606109269.056245
29.4,1606109269.277245
29.1,1606109269.938245
29.3,1606109270.157245
29.1,1606109270.410245
29.4,1606109270.853245
29.2,1606109272.430245
29.4,1606109273.312245
29.3,1606109274.443245
29.4,1606109275.104245
29.5,1606109275.324245
29.4,1606109275.546245
29.2,1606109277.831245
29.4,1606109278.052245
29.1,1606109278.743245
29.4,1606109278.966245
29.2,1606109279.188245
29.4,1606109279.409245
29.6,1606109279.629245
29.4,1606109279.850245
29.2,1606109280.073245
29.4,1606109280.830245
29.3,1606109281.049245
29.4,1606109281.268245
29.3,1606109282.151245
29.4,1606109282.371245
29.3,1606109284.170245
29.1,1606109284.862245
29.3,1606109285.082245
29.1,1606109287.318245
29.4,1606109287.540245
29.3,1606109288.424245
29.4,1606109288.675245
29.3,1606109288.895245
29.5,1606109289.337245
29.3,1606109289.558245
29.5,1606109289.780245
29.4,1606109290.220245
29.3,1606109292.928245
29.5,1606109293.369245
29.4,1606109293.589245
29.5,1606109293.809245
29.3,1606109294.254245
29.4,1606109294.725245
29.2,1606109295.166245
29.4,1606109295.828245
29.1,1606109296.960245
29.3,1606109297.181245
29.4,1606109297.402245
29.3,1606109297.624245
29.5,1606109298.286245
29.3,1606109298.757245
29.2,1606109299.419245
29.3,1606109299.639245
29.5,1606109299.860245
29.3,1606109300.524245
29.6,1606109300.993245
29.3,1606109301.212245
29.5,1606109301.433245
29.3,1606109302.098245
29.2,1606109302.541245
29.3,1606109302.792245
29.2,1606109303.675245
29.4,1606109304.119245
29.3,1606109304.338245
29.5,1606109305.030245
29.3,1606109305.251245
29.4,1606109305.471245
29.5,1606109308.151245
29.3,1606109308.372245
29.5,1606109309.288245
29.3,1606109309.732245
29.5,1606109311.087245
29.2,1606109311.308245
29.4,1606109311.528245
29.6,1606109312.412245
29.4,1606109312.632245
29.5,1606109313.542245
29.3,1606109313.763245
29.5,1606109314.898245
29.3,1606109315.118245
29.4,1606109315.339245
29.3,1606109316.001245
29.5,1606109316.443245
29.4,1606109316.916245
29.3,1606109317.137245
29.4,1606109318.461245
29.3,1606109319.593245
29.4,1606109320.256245
29.2,1606109321.614245
29.3,1606109321.834245
29.2,1606109323.186245
29.4,1606109323.407245
29.3,1606109324.076245
29.5,1606109324.735245
29.4,1606109324.985245
29.5,1606109325.427245
29.3,1606109326.534245
29.4,1606109328.332245
29.3,1606109328.552245
29.1,1606109329.467245
29.4,1606109329.687245
29.2,1606109329.907245
29.4,1606109330.572245
29.2,1606109331.042245
29.4,1606109331.484245
29.3,1606109331.707245
29.5,1606109331.926245
29.3,1606109332.148245
29.5,1606109332.368245
29.3,1606109332.588245
29.6,1606109332.809245
29.3,1606109333.061245
29.4,1606109335.077245
29.2,1606109335.740245
29.3,1606109335.957245
29.5,1606109336.178245
29.3,1606109337.523245
29.2,1606109337.968245
29.4,1606109338.189245
29.6,1606109338.411245
29.5,1606109338.632245
29.4,1606109338.853245
29.5,1606109339.545245
29.4,1606109339.988245
29.5,1606109340.432245
29.3,1606109340.873245
29.2,1606109341.497245
29.4,1606109341.717245
29.5,1606109342.598245
29.3,1606109342.819245
29.5,1606109343.522245
29.4,1606109343.741245
29.2,1606109344.844245
29.4,1606109345.064245
29.2,1606109345.976245
29.5,1606109346.197245
29.5,1606109346.638245
29.3,1606109346.859245
29.4,1606109347.079245
29.6,1606109347.772245
29.4,1606109347.994245
29.2,1606109349.099245
29.4,1606109349.350245
29.5,1606109350.012245
29.3,1606109350.453245
29.1,1606109350.675245
29.3,1606109350.896245
29.5,1606109352.135245
29.3,1606109352.577245
29.4,1606109352.798245
29.3,1606109353.018245
29.4,1606109353.489245
29.2,1606109353.709245
29.4,1606109353.930245
29.5,1606109354.371245
29.3,1606109354.593245
29.5,1606109354.814245
29.4,1606109355.036245
29.3,1606109358.406245
29.4,1606109359.068245
29.3,1606109359.291245
29.5,1606109359.773245
29.4,1606109360.432245
29.5,1606109360.651245
29.2,1606109361.092245
29.4,1606109361.314245
29.3,1606109362.006245
29.5,1606109362.448245
29.4,1606109362.887245
29.3,1606109363.107245
29.4,1606109363.329245
29.5,1606109363.798245
29.3,1606109364.018245
29.4,1606109364.459245
29.3,1606109365.124245
29.4,1606109365.344245
29.3,1606109365.815245
29.5,1606109366.475245
29.4,1606109366.696245
29.2,1606109367.139245
29.4,1606109367.361245
29.6,1606109367.831245
29.4,1606109368.052245
29.2,1606109368.496245
29.4,1606109368.717245
29.2,1606109368.937245
29.4,1606109369.159245
29.2,1606109369.379245
29.5,1606109369.630245
29.2,1606109369.850245
29.4,1606109370.071245
29.3,1606109370.513245
29.1,1606109371.649245
29.3,1606109371.870245
29.1,1606109372.755245
29.4,1606109373.416245
29.3,1606109374.553245
29.2,1606109374.996245
29.5,1606109375.218245
29.3,1606109375.441245
29.5,1606109376.134245
29.3,1606109376.355245
29.5,1606109376.798245
29.3,1606109377.018245
29.4,1606109378.153245
29.3,1606109378.375245
29.4,1606109379.729245
29.2,1606109379.951245
29.5,1606109380.173245
29.3,1606109380.837245
29.5,1606109381.058245
29.3,1606109381.500245
29.5,1606109381.751245
29.3,1606109382.631245
29.2,1606109383.807245
