sensors,temperature,humidity,count,time
"-273,-273,-273,-273,25.7,22.8,24.4,21.6",21,32,0,1606154147.185348
"-273,-273,-273,-273,25.7,22.8,24.4,21.6",21,32,0,1606154165.745342
"-273,-273,-273,-273,25.7,22.8,24.4,21.6",21,32,0,1606154184.305339
"-273,-273,-273,-273,25.7,22.8,24.4,21.5",21,32,0,1606154202.865397
"-273,-273,-273,-273,25.7,22.8,24.4,21.5",21,32,0,1606154221.425336
"-273,-273,-273,-273,25.7,22.8,24.4,21.5",0,32,0,1606154239.985307
"-273,-273,-273,-273,25.7,22.8,24.4,21.5",21,32,0,1606154258.545351
"-273,-273,-273,-273,25.7,22.8,24.4,21.5",21,32,0,1606154277.105343
"-273,-273,-273,-273,25.7,22.8,24.4,21.5",21,32,0,1606154295.665349
"-273,-273,-273,-273,25.7,22.8,24.4,21.5",0,32,0,1606154314.225978
"-273,-273,-273,-273,25.7,22.8,24.4,21.5",21,32,0,1606154332.78535
"-273,-273,-273,-273,25.7,22.8,24.4,21.5",21,32,0,1606154351.435341
"-273,-273,-273,-273,25.7,22.8,24.4,21.5",21,32,0,1606154369.985337
"-273,-273,-273,-273,25.7,22.8,24.4,21.5",21,32,0,1606154388.545967
"-273,-273,-273,-273,25.8,22.8,24.4,21.5",21,32,0,1606154407.105416
"-273,-273,-273,-273,25.8,22.8,24.4,21.5",21,32,0,1606154425.665431
"-273,-273,-273,-273,25.8,22.8,24.4,21.5",0,32,0,1606154444.225409
"-273,-273,-273,-273,25.8,22.8,24.4,21.6",21,32,0,1606154462.785432
"-273,-273,-273,-273,25.8,22.8,24.4,21.6",21,32,0,1606154481.345356
"-273,-273,-273,-273,25.8,22.8,24.4,21.6",0,32,0,1606154499.905334
"-273,-273,-273,-273,25.8,22.8,24.4,21.5",22,32,0,1606154518.465385
"-273,-273,-273,-273,25.8,22.8,24.4,21.5",21,32,0,1606154537.025357
"-273,-273,-273,-273,25.8,22.8,24.4,21.5",21,32,0,1606154555.585736
"-273,-273,-273,-273,25.8,22.8,24.4,21.6",21,32,0,1606154574.145353
"-273,-273,-273,-273,25.8,22.8,24.4,21.6",21,32,0,1606154592.705351
"-273,-273,-273,-273,25.8,22.8,24.4,21.5",0,32,0,1606154611.265351
"-273,-273,-273,-273,25.8,22.8,24.4,21.6",0,32,0,1606154629.825338
"-273,-273,-273,-273,25.8,22.8,24.4,21.6",0,32,0,1606154648.385349
"-273,-273,-273,-273,25.8,22.8,24.4,21.6",21,32,0,1606154666.945338
"-273,-273,-273,-273,25.9,22.8,24.4,21.5",0,32,0,1606154685.505334
"-273,-273,-273,-273,25.9,22.8,24.4,21.6",21,32,0,1606154704.065339
"-273,-273,-273,-273,25.9,22.8,24.4,21.6",21,32,0,1606154722.625342
"-273,-273,-273,-273,25.9,22.8,24.4,21.6",21,32,0,1606154741.185347
